Title,Description,Topic,URL
n8n,Free and source-available fair-code licensed workflow automation tool. Easily automate tasks across different services.,workflow-automation,https://github.com//n8n-io/n8n
conductor,Conductor is a microservices orchestration engine.,workflow-automation,https://github.com//Netflix/conductor
cadence,"Cadence is a distributed, scalable, durable, and highly available orchestration engine to execute asynchronous long-running business logic in a scalable and resilient way.",workflow-automation,https://github.com//uber/cadence
dagster,"An orchestration platform for the development, production, and observation of data assets.",workflow-automation,https://github.com//dagster-io/dagster
temporal,Temporal service,workflow-automation,https://github.com//temporalio/temporal
lowdefy,"An open-source, self-hosted, low-code framework to build internal tools, web apps, admin panels, BI dashboards, workflows, and CRUD apps with YAML or JSON.",workflow-automation,https://github.com//lowdefy/lowdefy
argo-events,Event-driven automation framework,workflow-automation,https://github.com//argoproj/argo-events
doit,task management & automation tool,workflow-automation,https://github.com//pydoit/doit
utask,碌Task is an automation engine that models and executes business processes declared in yaml. 鉁忥笍馃搵,workflow-automation,https://github.com//ovh/utask
obsei,"Obsei is a low code AI powered automation tool. It can be used in various business flows like social listening, AI based alerting, brand image analysis, comparative study and more .",workflow-automation,https://github.com//obsei/obsei
couler,"Unified Interface for Constructing and Managing Workflows on different workflow engines, such as Argo Workflows, Tekton Pipelines, and Apache Airflow.",workflow-automation,https://github.com//couler-proj/couler
daml,The Daml smart contract language,workflow-automation,https://github.com//digital-asset/daml
gh-action-pypi-publish,"GitHub Action, for publishing distribution files to PyPI: https://github.com/marketplace/actions/pypi-publish",workflow-automation,https://github.com//pypa/gh-action-pypi-publish
mergeable,馃 All the missing GitHub automation 馃檪 馃檶 ,workflow-automation,https://github.com//mergeability/mergeable
TACTIC,Open source remote collaboration platform used for configuring and deploying enterprise Workflow solutions.,workflow-automation,https://github.com//Southpaw-TACTIC/TACTIC
odin,"A programmable, observable and distributed job orchestration system.",workflow-automation,https://github.com//theycallmemac/odin
temporalite,An experimental distribution of Temporal that runs as a single process,workflow-automation,https://github.com//temporalio/temporalite
Dynamics-365-Workflow-Tools,Dynamics 365 Workflow Tools is a Community solution that expands Microsoft Dynamics 365 (CRM) Workflow features with lots of new posibilities. This helps you to build very advanced Codeless solutions in CRM.,workflow-automation,https://github.com//demianrasko/Dynamics-365-Workflow-Tools
streamsheets,An open-source tool for processing stream data using a spreadsheet-like interface.,workflow-automation,https://github.com//eclipse/streamsheets
sdk-go,Temporal Go SDK,workflow-automation,https://github.com//temporalio/sdk-go
obsei,"Obsei is a low code AI powered automation tool. It can be used in various business flows like social listening, AI based alerting, brand image analysis, comparative study and more .",process-automation,https://github.com//obsei/obsei
process-automation-enablement,This repository contains content for SAP Process Automation trainings.,process-automation,https://github.com//SAP-samples/process-automation-enablement
werk24-python,Automated Processing of Technical Drawings,process-automation,https://github.com//W24-Service-GmbH/werk24-python
HVAC-Building-and-Process-Automation,"The library product HVAC Building & Process Automation SL for CODESYS contains functional components and HTML5 system macros for the creation of e.g. heating and ventilation systems, but also for room automation and other industrial system technology.",process-automation,https://github.com//HVAC-By-Pfaender/HVAC-Building-and-Process-Automation
Bathytools,"Tools for navigationally safe bathymetric surface processing - Rolling Coin algorithm, iterative Laplacian smoothing, shoal buffering and surface offsetting. Efficient implementations written in C. Simple command-line interface to support scripting use.",process-automation,https://github.com//tfilppula/Bathytools
automation-protocols-metadata,"JSON file that contains an update metadata of Automation Protocols (Industrial control system, process automation, building automation, automatic meter reading, and automobile)",process-automation,https://github.com//qeeqbox/automation-protocols-metadata
camunda-demo,camunda-demo,process-automation,https://github.com//LLLLimbo/camunda-demo
opal-node-red,A fork of the node-red project with changes needed for the OPAL framework,process-automation,https://github.com//telligro/opal-node-red
opal-nodes,"Nodes that are used by the OPAL framework to automate user activity for different types of resources such UI, Excel, PDF etc.",process-automation,https://github.com//telligro/opal-nodes
digidroplet-controller,DigitalOcean API Controller,process-automation,https://github.com//ButrintKomoni/digidroplet-controller
redux,Bacterial phenotype prediction from low pass sequencing using recommender systems and machine learning classifiers.,process-automation,https://github.com//jw44lavo/redux
spothole.authority,"Spothole (Authority App) - Artificial Intelligence Powered Pothole Detection, Reporting and Management Solution",process-automation,https://github.com//nirbhayph/spothole.authority
GoFarmTech,GoFarmTech Arduino based Framework for developing agriculture/industry processes automation devices.,process-automation,https://github.com//bratello/GoFarmTech
ReviewBuddy,ReviewBuddy is a Bonita BPM App that automates Review Processes,process-automation,https://github.com//Ilagouilly/ReviewBuddy
opal-setup,"The setup module for the OPAL framework. Installs opal-node-red, the fork of node-red used by OPAL and set of nodes that are part of the OPAL framework",process-automation,https://github.com//telligro/opal-setup
mabiesen.github.io,,process-automation,https://github.com//mabiesen/mabiesen.github.io
haskell,Colonies SDK in Haskell,process-automation,https://github.com//colonyos/haskell
cv-skills-updator,Moved to GitLab. A script for updating CV with data from skills tracking table,process-automation,https://github.com//OlehKurachenko/cv-skills-updator
LinkedInProfileViewer,This tool automates linked-in profile views using a excel sheet with profile url's,process-automation,https://github.com//appumistri/LinkedInProfileViewer
VBA_Misc_Macros,This repo will contain various small macros and use cases i've implemented for my current work in order to speed up the process,process-automation,https://github.com//theOther-Paul/VBA_Misc_Macros
puppeteer,Headless Chrome Node.js API,automation,https://github.com//puppeteer/puppeteer
playwright,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. ",automation,https://github.com//microsoft/playwright
