Title,Description,Topic
n8n,Free and source-available fair-code licensed workflow automation tool. Easily automate tasks across different services.,workflow-automation
conductor,Conductor is a microservices orchestration engine.,workflow-automation
cadence,"Cadence is a distributed, scalable, durable, and highly available orchestration engine to execute asynchronous long-running business logic in a scalable and resilient way.",workflow-automation
dagster,"An orchestration platform for the development, production, and observation of data assets.",workflow-automation
temporal,Temporal service,workflow-automation
lowdefy,"An open-source, self-hosted, low-code framework to build internal tools, web apps, admin panels, BI dashboards, workflows, and CRUD apps with YAML or JSON.",workflow-automation
argo-events,Event-driven automation framework,workflow-automation
doit,task management & automation tool,workflow-automation
utask,µTask is an automation engine that models and executes business processes declared in yaml. ✏️📋,workflow-automation
obsei,"Obsei is a low code AI powered automation tool. It can be used in various business flows like social listening, AI based alerting, brand image analysis, comparative study and more .",workflow-automation
couler,"Unified Interface for Constructing and Managing Workflows on different workflow engines, such as Argo Workflows, Tekton Pipelines, and Apache Airflow.",workflow-automation
daml,The Daml smart contract language,workflow-automation
mergeable,🤖 All the missing GitHub automation 🙂 🙌 ,workflow-automation
gh-action-pypi-publish,"GitHub Action, for publishing distribution files to PyPI: https://github.com/marketplace/actions/pypi-publish",workflow-automation
TACTIC,Open source remote collaboration platform used for configuring and deploying enterprise Workflow solutions.,workflow-automation
odin,"A programmable, observable and distributed job orchestration system.",workflow-automation
temporalite,An experimental distribution of Temporal that runs as a single process,workflow-automation
Dynamics-365-Workflow-Tools,Dynamics 365 Workflow Tools is a Community solution that expands Microsoft Dynamics 365 (CRM) Workflow features with lots of new posibilities. This helps you to build very advanced Codeless solutions in CRM.,workflow-automation
streamsheets,An open-source tool for processing stream data using a spreadsheet-like interface.,workflow-automation
sdk-go,Temporal Go SDK,workflow-automation
obsei,"Obsei is a low code AI powered automation tool. It can be used in various business flows like social listening, AI based alerting, brand image analysis, comparative study and more .",process-automation
process-automation-enablement,This repository contains content for SAP Process Automation trainings.,process-automation
werk24-python,Automated Processing of Technical Drawings,process-automation
HVAC-Building-and-Process-Automation,"The library product HVAC Building & Process Automation SL for CODESYS contains functional components and HTML5 system macros for the creation of e.g. heating and ventilation systems, but also for room automation and other industrial system technology.",process-automation
Bathytools,"Tools for navigationally safe bathymetric surface processing - Rolling Coin algorithm, iterative Laplacian smoothing, shoal buffering and surface offsetting. Efficient implementations written in C. Simple command-line interface to support scripting use.",process-automation
automation-protocols-metadata,"JSON file that contains an update metadata of Automation Protocols (Industrial control system, process automation, building automation, automatic meter reading, and automobile)",process-automation
camunda-demo,camunda-demo,process-automation
opal-node-red,A fork of the node-red project with changes needed for the OPAL framework,process-automation
opal-nodes,"Nodes that are used by the OPAL framework to automate user activity for different types of resources such UI, Excel, PDF etc.",process-automation
digidroplet-controller,DigitalOcean API Controller,process-automation
redux,Bacterial phenotype prediction from low pass sequencing using recommender systems and machine learning classifiers.,process-automation
spothole.authority,"Spothole (Authority App) - Artificial Intelligence Powered Pothole Detection, Reporting and Management Solution",process-automation
GoFarmTech,GoFarmTech Arduino based Framework for developing agriculture/industry processes automation devices.,process-automation
ReviewBuddy,ReviewBuddy is a Bonita BPM App that automates Review Processes,process-automation
opal-setup,"The setup module for the OPAL framework. Installs opal-node-red, the fork of node-red used by OPAL and set of nodes that are part of the OPAL framework",process-automation
haskellrt,Colonies SDK in Haskell,process-automation
mabiesen.github.io,,process-automation
cv-skills-updator,Moved to GitLab. A script for updating CV with data from skills tracking table,process-automation
LinkedInProfileViewer,This tool automates linked-in profile views using a excel sheet with profile url's,process-automation
VBA_Misc_Macros,This repo will contain various small macros and use cases i've implemented for my current work in order to speed up the process,process-automation
puppeteer,Headless Chrome Node.js API,automation
playwright,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. ",automation
huginn,Create agents that monitor and act on your behalf. Your agents are standing by!,automation
fastlane,🚀 The easiest way to automate building and releasing your iOS and Android apps,automation
phantomjs,Scriptable Headless Browser,automation
n8n,Free and source-available fair-code licensed workflow automation tool. Easily automate tasks across different services.,automation
vagrant,Vagrant is a tool for building and distributing development environments.,automation
appsmith,"Low code project to build admin panels, internal tools, and dashboards. Integrates with 15+ databases and any API.",automation
Tasmota,"Alternative firmware for ESP8266 with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at",automation
semantic-release,📦🚀 Fully automated version management and package publishing,automation
appium,Cross-platform automation framework for all kinds of your apps built on top of W3C WebDriver protocol,automation
InstaPy,📷 Instagram Bot - Tool for automated Instagram interactions,automation
watchtower,A process for automating Docker container base image updates. ,automation
Auto.js,Automation&Workflow JavaScript IDE on Android(安卓平台上的自动化工作流JavaScript IDE),automation
awx,"AWX provides a web-based user interface, REST API, and task engine built on top of Ansible. It is one of the upstream projects for Red Hat Ansible Automation Platform.",automation
leon,🧠 Leon is your open-source personal assistant.,automation
prefect,The easiest way to coordinate your dataflow,automation
Detox,Gray box end-to-end testing and automation framework for mobile apps,automation
hammerspoon,Staggeringly powerful macOS desktop automation with Lua,automation
